# === Registry (Add/Remove Programs) ===
# Exported: 2026-04-07 14:14:38


DisplayName                                                                   DisplayVersion     Publisher             
PostgreSQL 18                                                                 18.3-2             PostgreSQL Global D...
Promontory_GPIO Driver                                                        3.0.3.0            Advanced Micro Devi...
psqlODBC 13.02.0000                                                           13.02.0000-1       EnterpriseDB          
Python 3.11.9 (64-bit)                                                        3.11.9150.0        Python Software Fou...
Python 3.11.9 Add to Path (64-bit)                                            3.11.9150.0        Python Software Fou...
Python 3.11.9 Core Interpreter (64-bit)                                       3.11.9150.0        Python Software Fou...
Python 3.11.9 Development Libraries (64-bit)                                  3.11.9150.0        Python Software Fou...
Python 3.11.9 Documentation (64-bit)                                          3.11.9150.0        Python Software Fou...
Python 3.11.9 Executables (64-bit)                                            3.11.9150.0        Python Software Fou...
Python 3.11.9 pip Bootstrap (64-bit)                                          3.11.9150.0        Python Software Fou...
Python 3.11.9 Standard Library (64-bit)                                       3.11.9150.0        Python Software Fou...
Python 3.11.9 Tcl/Tk Support (64-bit)                                         3.11.9150.0        Python Software Fou...
Python 3.11.9 Test Suite (64-bit)                                             3.11.9150.0        Python Software Fou...
Python 3.11.9 Utility Scripts (64-bit)                                        3.11.9150.0        Python Software Fou...
Python 3.12.10 (64-bit)                                                       3.12.10150.0       Python Software Fou...
Python 3.12.10 Add to Path (64-bit)                                           3.12.10150.0       Python Software Fou...
Python 3.12.10 Core Interpreter (64-bit)                                      3.12.10150.0       Python Software Fou...
Python 3.12.10 Development Libraries (64-bit)                                 3.12.10150.0       Python Software Fou...
Python 3.12.10 Documentation (64-bit)                                         3.12.10150.0       Python Software Fou...
Python 3.12.10 Executables (64-bit)                                           3.12.10150.0       Python Software Fou...
Python 3.12.10 pip Bootstrap (64-bit)                                         3.12.10150.0       Python Software Fou...
Python 3.12.10 Standard Library (64-bit)                                      3.12.10150.0       Python Software Fou...
Python 3.12.10 Tcl/Tk Support (64-bit)                                        3.12.10150.0       Python Software Fou...
Python 3.12.10 Test Suite (64-bit)                                            3.12.10150.0       Python Software Fou...
Python 3.13.12 (64-bit)                                                       3.13.12150.0       Python Software Fou...
Python 3.13.12 Add to Path (64-bit)                                           3.13.12150.0       Python Software Fou...
Python 3.13.12 Core Interpreter (64-bit)                                      3.13.12150.0       Python Software Fou...
Python 3.13.12 Development Libraries (64-bit)                                 3.13.12150.0       Python Software Fou...
Python 3.13.12 Documentation (64-bit)                                         3.13.12150.0       Python Software Fou...
Python 3.13.12 Executables (64-bit)                                           3.13.12150.0       Python Software Fou...
Python 3.13.12 pip Bootstrap (64-bit)                                         3.13.12150.0       Python Software Fou...
Python 3.13.12 Standard Library (64-bit)                                      3.13.12150.0       Python Software Fou...
Python 3.13.12 Tcl/Tk Support (64-bit)                                        3.13.12150.0       Python Software Fou...
Python 3.13.12 Test Suite (64-bit)                                            3.13.12150.0       Python Software Fou...
Python Launcher                                                               3.13.2150.0        Python Software Fou...
Raspberry Pi Imager                                                           v2.0.6             Raspberry Pi Ltd      
Realtek Audio Driver                                                          6.0.9694.1         Realtek Semiconduct...
Realtek Ethernet Controller Driver                                            10.74.1128.2024    Realtek               
Revo Uninstaller 2.6.5                                                        2.6.5              VS Revo Group, Ltd.   
RivaTuner Statistics Server 7.3.7                                             7.3.7              Unwinder              
Syncthing                                                                     2.0.15             The Syncthing Authors 
Tailscale                                                                     1.96.3             Tailscale Inc.        
TeraCopy                                                                      3.17               Code Sector           
Tesseract-OCR - open source OCR engine                                        5.5.0.20241111     Tesseract-OCR commu...
TreeSize Free V4.8.1                                                          4.8.1              JAM Software          
vcpp_crt.redist.clickonce                                                     14.44.35211        Microsoft Corporation 
Verbatim_SureFireGaming_Product                                               1.0.3.11           Verbatim              
Visual Studio Community 2026                                                  18.4.0             Microsoft Corporation 
VLC media player                                                              3.0.23             VideoLAN              
VS Immersive Activate Helper                                                  17.0.157.0         Microsoft Corporation 
VS JIT Debugger                                                               17.0.157.0         Microsoft Corporation 
VS Script Debugging Common                                                    17.0.157.0         Microsoft Corporation 
vs_BlendMsi                                                                   18.4.11505         Microsoft Corporation 
vs_clickoncebootstrappermsi                                                   18.4.11506         Microsoft Corporation 
vs_clickoncebootstrappermsires                                                18.4.11506         Microsoft Corporation 
